Skills,Career,Description
Python,Data Analyst,Analyzes data using Python and visualization tools
Python SQL,Data Scientist,Builds machine learning models and analyzes data
Java,Software Engineer,Develops software applications using Java
HTML CSS JavaScript,Web Developer,Designs and develops websites
C C++,Embedded Engineer,Develops software for embedded systems
Machine Learning,AI Engineer,Builds AI and machine learning solutions
Power BI,Business Intelligence Analyst,Creates business dashboards and reports
Excel,Business Analyst,Analyzes business data and prepares reports
React,Frontend Developer,Builds modern user interfaces
Android,Android Developer,Develops Android mobile applications
AWS,Cloud Engineer,Builds and manages cloud infrastructure
Cyber Security,Security Analyst,Protects systems from cyber attacks
Networking,Network Engineer,Designs and maintains computer networks
DevOps,DevOps Engineer,Automates software development and deployment
SQL,Database Administrator,Manages and maintains databases
Tableau,Data Visualization Analyst,Creates interactive dashboards
TensorFlow,Machine Learning Engineer,Builds deep learning models
PyTorch,Deep Learning Engineer,Develops AI applications
Linux,System Administrator,Manages Linux servers
Git,DevOps Engineer,Tracks code using version control
Docker,Cloud DevOps Engineer,Deploys applications using containers
Kubernetes,Cloud Architect,Manages container orchestration
UI UX,UI UX Designer,Designs user-friendly interfaces
Node.js,Backend Developer,Develops server-side applications
Figma,UI UX Designer,Designs user interfaces and prototypes
Photoshop,Graphic Designer,Creates graphics and digital designs
Canva,Graphic Designer,Designs posters and social media content
Django,Python Developer,Develops web applications using Django
Flask,Python Developer,Builds lightweight Python web applications
Java Spring,Java Developer,Develops enterprise Java applications
MongoDB,Database Developer,Manages NoSQL databases
C#,DotNet Developer,Builds .NET applications
PHP,PHP Developer,Develops dynamic websites
